ID;Nome Completo;Idade;CPF;Sexo;Estado Civil;E-mail;Telefone;Cidade;Estado;Marca;Modelo;Ano_fabricacao;Cor;Valor_venda;Data_venda;Forma_pagamento
375;Ana Almeida;67;613.520.794-61;Feminino;Divorciado;dcunha@example.org;0300 371 1993;Monteiro;SP;Toyota;Hilux;2015;Branco;112463.46;2024-04-10;Consórcio
376;Gabrielly Aragão;61;027.431.658-71;Feminino;Divorciado;saracavalcante@example.org;0500-695-8904;Borges;PB;Ford;Territory;2019;Branco;102599.76;2019-05-23;Financiamento
377;Aylla Rodrigues;33;862.490.375-00;Feminino;Viúvo;mendesnicole@example.net;+55 (031) 3873 3078;Martins;RJ;Ford;Focus;2023;Preto;94382.26;2023-09-17;Consórcio
378;Maysa Machado;33;971.846.230-96;Feminino;Solteiro;sophiavieira@example.com;71 0948-8463;Jesus;MT;Peugeot;2008;2020;Cinza;191530.34;2024-06-03;Consórcio
379;Lucas Gabriel Casa Grande;47;351.068.729-95;Masculino;Viúvo;eloahlima@example.com;(061) 0619-4878;Almeida;RJ;Peugeot;Partner;2022;Branco;128075.84;2021-07-14;Financiamento
380;Maria Sophia Costela;27;951.806.432-60;Feminino;Divorciado;arthur51@example.org;+55 (061) 1436-3303;Pires do Oeste;BA;Honda;Fit;2021;Cinza;103666.52;2022-07-14;Consórcio
381;Emanuella Lima;27;407.596.138-93;Feminino;Casado;rodrigueshenry@example.com;+55 31 8680-2269;Caldeira do Galho;PE;Ford;Focus;2021;Branco;171428.29;2023-12-29;Financiamento
382;Luiz Fernando Andrade;34;298.465.073-56;Masculino;Divorciado;lvasconcelos@example.org;+55 (051) 3598 4730;Aparecida;MS;Toyota;Etios;2023;Verde;61595.64;2020-01-31;Consórcio
383;Maria Macedo;54;754.869.310-93;Feminino;Viúvo;liam69@example.org;31 5977-2122;Rezende Paulista;RN;Volskwagen;Saveiro;2017;Branco;127350.77;2018-05-08;Consórcio
384;Pedro Lucas da Conceição;38;192.634.875-37;Masculino;Divorciado;domsilva@example.net;84 2976-0604;Melo do Oeste;AP;Toyota;Corolla Cross;2016;Vermelho;223641.89;2019-06-03;Financiamento
385;Miguel da Rocha;25;704.865.129-67;Masculino;Casado;sousamelina@example.net;+55 (041) 5296-4182;Montenegro de Abreu;BA;Volskwagen;Virtus;2013;Branco;105469.51;2019-12-05;À vista
386;Davi Lucas da Mota;29;746.815.203-90;Masculino;Viúvo;caua68@example.org;(031) 7242 6109;Teixeira de Minas;MS;Toyota;Hilux;2018;Vermelho;85344.3;2020-04-12;À vista
387;Dante Moraes;46;510.834.692-15;Masculino;Divorciado;enriconunes@example.org;11 2190-9300;Macedo da Praia;MT;Ford;Ecosport;2015;Cinza;183441.37;2019-09-08;Leasing
388;Sara Farias;28;462.537.980-65;Feminino;Casado;isiscunha@example.com;+55 81 3734 3464;Almeida;SE;Ford;Ecosport;2017;Verde;72564.45;2024-03-08;Consórcio
389;Luan Araújo;42;718.065.439-66;Masculino;Viúvo;andradesophia@example.org;(021) 0655-2983;Sá de Almeida;MS;Peugeot;Partner;2017;Cinza;150601.89;2022-04-27;Consórcio
390;Enzo Gabriel Dias;26;240.781.695-11;Masculino;Solteiro;joao-miguel20@example.org;+55 (011) 0741-0775;da Mota;BA;Ford;Ranger;2020;Vermelho;239796.42;2024-07-31;Consórcio
391;Henry Gabriel Santos;46;478.123.960-96;Masculino;Divorciado;ateixeira@example.org;+55 51 2407 9670;Melo;MT;Citroen;C4 Grand Picasso;2020;Vermelho;241656.48;2019-11-01;À vista
392;Maria Eduarda Vargas;41;721.893.506-03;Feminino;Viúvo;camargonicolas@example.com;(071) 1321-4202;Vasconcelos de Cunha;BA;Honda;HR-V;2022;Cinza;181573.98;2020-12-06;À vista
393;Eloah Sousa;32;458.139.702-23;Feminino;Solteiro;aparecidalara@example.com;0800 473 4118;Caldeira;AC;Peugeot;Partner;2017;Branco;169123.26;2024-08-19;Consórcio
394;Evelyn Marques;45;096.538.471-39;Feminino;Divorciado;lmoraes@example.com;31 9741-1119;Fernandes;PE;Honda;City;2022;Cinza;43615.25;2018-05-03;Financiamento
395;Antonella Caldeira;62;143.920.785-23;Feminino;Viúvo;da-conceicaoayla@example.com;+55 84 0592-3813;Andrade de Cunha;PR;Citroen;Aircross;2015;Vermelho;189167.47;2021-11-08;Financiamento
396;Renan Câmara;42;476.150.983-00;Masculino;Divorciado;da-pazrenan@example.net;(041) 6587 1000;Nascimento;PE;Volskwagen;Polo;2013;Branco;184031.73;2022-04-25;Financiamento
397;Igor Moreira;25;063.894.275-65;Masculino;Divorciado;maria-eduarda31@example.com;(051) 7214 3128;Gomes;CE;Honda;Fit;2017;Preto;44972.83;2024-08-28;À vista
398;Maria Helena Monteiro;64;136.594.270-80;Feminino;Viúvo;portojuliana@example.com;+55 51 8181 6790;Cirino da Praia;PB;Honda;Fit;2023;Cinza;221031.3;2025-02-16;Leasing
399;Liz Gomes;53;789.153.426-82;Feminino;Viúvo;garciasara@example.org;11 0197-4937;Monteiro de Minas;RR;Honda;CR-V;2014;Cinza;86104.91;2017-08-07;Consórcio
400;Henrique Sales;44;124.673.859-73;Masculino;Solteiro;hsouza@example.com;+55 11 3466 1650;Azevedo de Azevedo;SC;Honda;City;2020;Branco;212264.92;2017-08-25;Financiamento
401;Maria Laura Gomes;41;658.297.104-20;Feminino;Divorciado;felipe33@example.com;+55 61 9447 2838;Correia Alegre;BA;Peugeot;Partner;2014;Preto;124878.7;2021-08-30;À vista
402;Anna Liz Campos;66;713.084.259-88;Feminino;Solteiro;caiocasa-grande@example.org;(021) 4121 4371;Rocha;DF;Ford;Ka Sedan;2013;Cinza;130932.38;2024-01-18;Consórcio
403;Alana Gomes;37;497.506.318-20;Feminino;Divorciado;alexia76@example.org;51 7011 2972;Araújo;MT;Honda;Civic;2019;Verde;148602.81;2023-09-23;À vista
404;Eduardo Fogaça;59;928.536.401-24;Masculino;Solteiro;melocaua@example.org;+55 (084) 6662-2893;da Luz;AM;Honda;Civic;2015;Azul;92375.42;2022-03-18;Consórcio
405;Pietra Correia;67;136.825.479-91;Feminino;Casado;alveslucas-gabriel@example.com;(061) 2408 8632;da Conceição das Flores;RN;Peugeot;308;2013;Azul;85857.62;2023-06-15;Financiamento
406;Nicolas Vasconcelos;43;582.194.367-19;Masculino;Divorciado;da-cunhaantonella@example.com;0500 978 5111;Barros de da Paz;MA;Toyota;Corolla;2014;Cinza;82103.55;2019-09-07;Consórcio
407;Isabela Monteiro;51;746.350.891-93;Feminino;Viúvo;eduardonovaes@example.com;(081) 7544 3806;Pastor das Flores;MS;Toyota;Corolla;2015;Vermelho;243063.36;2021-06-10;Consórcio
408;Allana Gomes;27;120.986.457-67;Feminino;Viúvo;maysa11@example.com;+55 (051) 5689 9853;Moreira dos Dourados;PR;Hyundai;HB20S;2016;Verde;98077.69;2017-07-19;À vista
409;Isabelly Nogueira;64;605.749.182-30;Feminino;Solteiro;moraesdiogo@example.net;11 7622 1306;Moura;MG;Hyundai;Tucson;2023;Azul;244789.89;2021-10-16;À vista
410;Aurora Sá;31;543.297.608-00;Feminino;Viúvo;otavio90@example.com;81 6226-6668;da Mota Alegre;PE;Ford;Ranger;2016;Azul;85309.92;2018-12-31;À vista
411;Marina Nunes;41;623.178.945-46;Feminino;Viúvo;carolina32@example.net;+55 (081) 3925 2384;Gonçalves de Ribeiro;RS;Peugeot;208;2016;Branco;173492.5;2024-05-31;Consórcio
412;Isabel Lima;43;938.046.725-74;Feminino;Casado;vitoria07@example.org;+55 84 2343-8246;da Rosa;PE;Peugeot;Partner;2018;Verde;58322.19;2022-09-09;Financiamento
413;Heitor Montenegro;70;678.954.023-74;Masculino;Divorciado;qcostela@example.net;61 7222-8941;Silva das Flores;PR;Peugeot;3008;2018;Prata;201624.93;2024-04-27;À vista
414;Luara Leão;27;547.613.892-73;Feminino;Viúvo;renan01@example.org;0300-750-0556;Casa Grande do Norte;RN;Ford;Focus;2017;Verde;140230.09;2024-03-30;À vista
415;Raquel Melo;67;520.961.483-24;Feminino;Divorciado;gabrielda-rocha@example.com;31 8545-6686;Viana de Minas;MT;Fiat;Argo;2020;Azul;97574.03;2017-10-23;Financiamento
416;Clarice Rodrigues;59;740.315.962-43;Feminino;Solteiro;yalmeida@example.com;61 1743 1365;Ramos;SE;Fiat;Cronos;2023;Branco;222087.17;2023-07-27;À vista
417;Maria Luiza Carvalho;58;374.051.896-01;Feminino;Solteiro;ravi26@example.org;(071) 8264-0153;Barros;AP;Ford;Ecosport;2021;Branco;212724.25;2017-12-16;Financiamento
418;Elisa da Paz;53;892.463.051-24;Feminino;Divorciado;isis45@example.com;+55 11 5255 8611;Rocha Alegre;RJ;Fiat;Argo;2013;Vermelho;151853.67;2022-09-14;Consórcio
419;Ana Vitória Dias;57;183.059.462-15;Feminino;Viúvo;rferreira@example.com;+55 71 1874-7381;Azevedo;MG;Toyota;Camry;2023;Vermelho;166577.48;2022-04-13;Consórcio
420;Heloisa Farias;44;708.396.154-93;Feminino;Divorciado;brocha@example.net;(031) 1157-3455;Moura;PI;Volskwagen;Gol;2017;Branco;212158.02;2019-11-03;Consórcio
421;Vinícius Moura;50;058.463.297-56;Masculino;Divorciado;marcelo89@example.com;41 9438-0711;da Rosa;PA;Peugeot;2008;2023;Branco;185643.55;2021-08-26;Consórcio
422;Théo Albuquerque;49;794.256.831-82;Masculino;Viúvo;luanribeiro@example.com;(011) 7115-9419;Sales;RO;Hyundai;Creta;2015;Branco;178653.17;2020-09-22;Consórcio
423;Ana Cecília Novais;35;376.108.492-78;Feminino;Viúvo;gpires@example.net;(041) 7423-2428;Ramos;RN;Volskwagen;Polo;2014;Preto;110931.17;2023-05-25;Consórcio
424;Francisco Ramos;63;653.120.948-89;Masculino;Solteiro;tguerra@example.org;51 2624 8495;Melo;CE;Fiat;Pulse;2013;Preto;117158.31;2022-01-28;Financiamento
425;Bryan Casa Grande;62;127.835.904-41;Masculino;Viúvo;maria-liz81@example.net;+55 41 5291 4211;Cassiano;AP;Fiat;500e;2013;Cinza;40752.64;2025-03-28;Financiamento
426;Alícia da Costa;58;472.169.308-78;Feminino;Divorciado;brendaandrade@example.net;0800-333-3890;Machado da Serra;AL;Toyota;Etios;2023;Cinza;220881.55;2023-01-22;Consórcio
427;Mirella Fonseca;39;258.374.690-10;Feminino;Solteiro;matheusmendonca@example.net;+55 (084) 3258-9257;Moura;RN;Toyota;Camry;2022;Cinza;143742.74;2022-04-12;À vista
428;Gustavo Pires;64;461.830.975-00;Masculino;Divorciado;nda-rocha@example.net;+55 81 2838-7195;Silveira;AL;Peugeot;2008;2016;Branco;71924.51;2018-04-17;Consórcio
429;Anna Liz Dias;41;173.560.429-16;Feminino;Divorciado;diasana-clara@example.net;(071) 9857 9922;Marques;MG;Honda;Fit;2020;Preto;37709.31;2024-03-16;Consórcio
430;Elisa Pacheco;54;389.467.510-10;Feminino;Casado;carvalhoisaac@example.org;(084) 0747 4905;Guerra de Minas;ES;Citroen;C3;2020;Preto;157770.26;2024-12-08;Financiamento
431;Hadassa Brito;67;952.876.143-73;Feminino;Viúvo;freitaseloah@example.org;(031) 1665-2851;Freitas;MS;Toyota;Corolla;2016;Branco;159286.86;2024-11-03;Consórcio
432;Augusto Pacheco;25;709.418.253-88;Masculino;Solteiro;saleskamilly@example.net;+55 31 7300-7643;da Paz dos Dourados;AL;Ford;Ecosport;2016;Azul;91757.49;2019-01-28;Financiamento
433;Renan Almeida;38;018.542.376-08;Masculino;Viúvo;jose-pedrocastro@example.net;0800 093 8190;Sampaio do Norte;TO;Volskwagen;Up;2019;Azul;90571.82;2019-01-13;Consórcio
434;Maria Julia Borges;42;421.780.695-76;Feminino;Divorciado;rhavinogueira@example.org;+55 61 6850 3232;Lima de Almeida;RS;Ford;Ecosport;2015;Cinza;150092.12;2019-03-11;Financiamento
435;Erick Cavalcanti;35;051.762.943-70;Masculino;Solteiro;caua23@example.org;(021) 0834 4609;Pastor do Amparo;SC;Toyota;Camry;2023;Branco;158489.22;2020-07-03;Financiamento
436;Jade Ribeiro;56;150.846.793-57;Feminino;Divorciado;mateus43@example.net;+55 (071) 1849-3351;Ribeiro dos Dourados;SC;Toyota;Yaris;2022;Prata;61810.59;2023-03-18;À vista
437;Eloah Machado;22;784.059.216-30;Feminino;Divorciado;zaparecida@example.net;0800 576 0337;Cardoso;PE;Peugeot;208;2014;Verde;174534.29;2018-01-16;Financiamento
438;Marcela da Rocha;47;695.073.142-61;Feminino;Viúvo;dda-cruz@example.net;+55 (031) 1966 2310;Vieira da Serra;PA;Honda;CR-V;2017;Verde;51907.55;2024-02-11;À vista
439;Bella Ramos;30;273.805.691-12;Feminino;Viúvo;da-motafernanda@example.com;11 3934-6487;Nogueira;RS;Ford;Ecosport;2021;Branco;193610.79;2020-09-11;Consórcio
440;Manuella Rocha;60;329.654.807-65;Feminino;Casado;sophia09@example.net;+55 51 2050 8406;Ribeiro da Serra;TO;Toyota;Hilux;2016;Preto;180269.47;2021-11-03;Consórcio
441;Maitê Ribeiro;50;430.782.951-41;Feminino;Divorciado;ramospedro-miguel@example.com;51 1578 7165;Moura;SE;Toyota;Corolla Cross;2016;Vermelho;211560.46;2023-04-22;À vista
442;Maria Laura Garcia;34;569.203.187-68;Feminino;Solteiro;daniloduarte@example.org;11 1291-7157;Albuquerque;RO;Citroen;C3;2022;Cinza;248264.84;2019-06-10;Financiamento
443;Luísa Pastor;29;564.103.892-05;Feminino;Viúvo;lorena39@example.org;11 1172-9879;Campos;SP;Volskwagen;Amarok;2022;Branco;134038.92;2017-09-18;Financiamento
444;Luana Borges;36;703.915.864-75;Feminino;Casado;alopes@example.net;(011) 9228-8096;Martins;MA;Fiat;Strada;2018;Azul;61524.9;2024-09-02;À vista
445;Cecília Carvalho;26;362.159.074-99;Feminino;Solteiro;da-rochaaylla@example.net;+55 (061) 8354 3577;das Neves;PE;Fiat;Fiorino;2013;Prata;35841.92;2021-01-02;À vista
446;Ana Beatriz da Mota;19;508.479.316-84;Feminino;Casado;campospietro@example.com;+55 81 2684 1597;Cavalcanti;PR;Honda;HR-V;2023;Verde;172744.01;2020-06-21;À vista
447;Matheus Macedo;35;173.406.598-20;Masculino;Divorciado;diegomelo@example.org;+55 (021) 8083 3010;Vargas;AM;Chevrolet;TrailBlazer;2022;Vermelho;49532.11;2021-07-09;Financiamento
448;Lucas das Neves;23;264.107.398-69;Masculino;Solteiro;walmeida@example.org;71 0825 6573;Cirino do Campo;PR;Citroen;C4 Grand Picasso;2022;Vermelho;132907.6;2017-09-27;Consórcio
449;Carolina da Rosa;42;593.712.046-99;Feminino;Solteiro;rochajoao-guilherme@example.com;21 1799-0377;Vieira do Sul;PR;Volskwagen;Virtus;2019;Azul;191193.66;2024-12-28;Financiamento
450;Ayla Pereira;32;514.287.903-14;Feminino;Divorciado;nunesyan@example.org;+55 71 3669 6724;Freitas das Pedras;AM;Ford;Focus;2018;Azul;176613.06;2017-12-22;Financiamento
451;Emanuella Moreira;59;408.193.652-89;Feminino;Solteiro;goncalveslara@example.net;41 8880-3473;Montenegro Grande;RN;Toyota;Camry;2017;Verde;231221.66;2018-04-15;Consórcio
452;Mathias Santos;60;920.134.567-43;Masculino;Viúvo;mporto@example.org;+55 (021) 8602-7358;Farias;MG;Volskwagen;Voyage;2016;Azul;233346.15;2021-02-15;Consórcio
453;Dante Rocha;24;941.276.358-19;Masculino;Viúvo;carvalhoeduardo@example.org;0300-012-0790;Costa de Goiás;AM;Fiat;Fastback;2022;Prata;236037.0;2020-05-24;Leasing
454;Joana da Rosa;19;269.847.305-38;Feminino;Viúvo;psouza@example.com;+55 (071) 6643 4087;Jesus das Flores;DF;Chevrolet;S-10;2018;Azul;192554.89;2017-05-06;Consórcio
455;Pedro Henrique Novaes;32;658.792.431-09;Masculino;Divorciado;nda-cruz@example.org;(021) 8244-1704;Brito do Norte;PR;Fiat;Strada;2018;Cinza;37854.81;2018-12-28;Consórcio
456;Mirella Ramos;21;459.602.783-83;Feminino;Viúvo;vinicius53@example.com;+55 (061) 3726 2787;Abreu;PI;Peugeot;308;2020;Branco;110879.03;2017-07-28;Consórcio
457;Rafaela Vasconcelos;27;429.368.750-56;Feminino;Divorciado;goncalvesnathan@example.com;+55 (011) 9164 1837;Castro;AP;Fiat;Toro;2017;Azul;201778.91;2021-09-04;Financiamento
458;Ian Sousa;41;938.604.752-74;Masculino;Divorciado;rdias@example.org;+55 81 0641-0871;Campos Grande;RS;Toyota;Corolla Cross;2022;Azul;114305.52;2023-10-12;À vista
459;Anna Liz Cavalcante;41;063.458.972-56;Feminino;Viúvo;vicenterodrigues@example.com;(011) 0467-6608;Costela Paulista;PB;Ford;Focus;2020;Verde;42643.81;2024-09-17;Consórcio
460;Juan da Rocha;53;613.527.809-68;Masculino;Solteiro;joao-miguelrodrigues@example.com;61 1800-6924;Macedo do Galho;RR;Toyota;Etios;2021;Preto;61408.12;2017-08-01;À vista
461;Benicio Sá;50;345.081.679-93;Masculino;Solteiro;hellenapimenta@example.com;31 3205-5101;Silveira;AL;Fiat;Pulse;2018;Preto;103770.55;2023-08-15;Leasing
462;Luiz Gustavo Ribeiro;59;196.403.752-25;Masculino;Solteiro;pachecogabrielly@example.com;(041) 4128-0180;Costa;RN;Toyota;Hilux;2013;Branco;168066.67;2018-06-30;À vista
463;Matteo da Conceição;32;943.216.857-37;Masculino;Solteiro;vargaskaique@example.net;0900 601 6690;Albuquerque de Correia;SE;Toyota;Corolla Cross;2019;Cinza;194701.16;2021-07-09;À vista
464;Nicolas Teixeira;44;231.086.749-78;Masculino;Solteiro;barrosana-carolina@example.net;+55 51 1988 2112;Azevedo do Amparo;PE;Peugeot;Partner;2020;Verde;102851.93;2018-08-27;À vista
465;Agatha Macedo;52;702.891.635-95;Feminino;Viúvo;rnascimento@example.org;51 6148 7261;Alves;MA;Ford;Ka;2023;Azul;163598.58;2020-04-06;Consórcio
466;Hadassa Viana;31;498.032.571-88;Feminino;Viúvo;ccastro@example.org;0800 900 0534;Almeida das Flores;AM;Citroen;Aircross;2022;Vermelho;165654.7;2023-02-21;Financiamento
467;Brayan Camargo;18;360.952.841-98;Masculino;Viúvo;rmoraes@example.com;84 5009 4902;Marques;PE;Hyundai;Creta;2014;Vermelho;216407.83;2025-01-18;Financiamento
468;Oliver Caldeira;28;643.502.789-74;Masculino;Casado;meloana@example.net;+55 (084) 1114 8134;Pastor;MA;Toyota;Etios;2020;Vermelho;50297.04;2020-04-08;À vista
469;Mariana Sampaio;40;356.072.184-90;Feminino;Divorciado;ngarcia@example.com;+55 (084) 4005-0975;Novaes;AL;Fiat;Fiorino;2021;Verde;70066.54;2021-03-31;Financiamento
470;Sofia Macedo;57;689.410.237-69;Feminino;Casado;zvasconcelos@example.com;0800-946-1155;Campos do Amparo;PR;Honda;CR-V;2019;Vermelho;152296.32;2017-10-20;Financiamento
471;Luiz Fernando Siqueira;62;973.062.184-50;Masculino;Divorciado;rebecavasconcelos@example.com;(071) 7387-6505;Brito de Melo;DF;Peugeot;Partner;2018;Branco;245728.49;2020-02-07;À vista
472;Marcelo Moreira;70;135.862.490-98;Masculino;Solteiro;pauloribeiro@example.net;+55 31 6429-2572;Fernandes;PA;Ford;Focus;2018;Vermelho;153386.13;2023-02-02;Financiamento
473;Larissa Camargo;57;983.046.152-15;Feminino;Casado;alanabarros@example.net;+55 84 3289-2973;Câmara;PR;Peugeot;2008;2017;Preto;126670.61;2019-07-31;Financiamento
474;Yago Martins;65;610.837.254-08;Masculino;Casado;olivia60@example.com;+55 84 1049 1709;Albuquerque da Serra;PB;Hyundai;HB20;2015;Vermelho;63214.41;2024-12-04;Financiamento
475;Nicole Montenegro;50;241.567.390-07;Feminino;Solteiro;duarteisaque@example.net;0900-861-2101;da Cunha da Serra;AM;Honda;CR-V;2023;Vermelho;142716.97;2018-04-15;Consórcio
476;Vitória Leão;70;754.036.289-83;Feminino;Viúvo;sofia48@example.com;+55 (081) 8031 5974;Novaes;RN;Chevrolet;Cruze;2017;Preto;46390.24;2019-04-25;Consórcio
477;Catarina da Rocha;42;206.978.534-38;Feminino;Casado;vitor-gabrielcampos@example.net;+55 (071) 4913-7925;Montenegro de Fonseca;RS;Toyota;Corolla;2022;Branco;44529.05;2019-12-31;Consórcio
478;Allana Casa Grande;62;423.675.190-99;Feminino;Divorciado;maysada-cunha@example.net;(041) 9851-7258;Santos Grande;RJ;Hyundai;HB20S;2022;Prata;164204.03;2021-04-16;Consórcio
479;Vitória da Costa;64;945.627.810-76;Feminino;Casado;bernardomartins@example.org;41 4860 8107;Borges;AM;Toyota;Corolla;2015;Verde;97310.62;2017-11-19;Financiamento
480;Ana Laura Câmara;26;043.971.685-39;Feminino;Casado;sampaiocamila@example.org;+55 11 3624-8987;Mendonça;AL;Citroen;C3;2019;Branco;171402.73;2017-12-13;Financiamento
481;Maria Cecília Aragão;40;947.061.358-93;Feminino;Viúvo;machadonicole@example.com;21 2002-0225;da Rocha da Praia;AM;Peugeot;2008;2016;Preto;52469.64;2020-05-04;À vista
482;Henry Moraes;21;731.956.048-84;Masculino;Solteiro;zandrade@example.net;+55 (011) 1745-3226;Cavalcanti;RO;Fiat;Strada;2017;Preto;231584.95;2019-04-07;À vista
483;Ana Julia da Cruz;65;481.305.672-53;Feminino;Casado;souzaleo@example.net;+55 (081) 1767 4336;Sales;DF;Peugeot;308;2021;Verde;164671.69;2024-02-23;Consórcio
484;Jade da Cruz;44;609.427.351-61;Feminino;Divorciado;cavalcantihelena@example.net;+55 11 6383 1925;Oliveira das Flores;AL;Peugeot;3008;2019;Branco;179783.42;2018-07-31;Consórcio
485;Maria Sophia Vieira;34;203.486.715-71;Feminino;Viúvo;camaraclara@example.com;41 9537-5174;Vieira;AL;Honda;HR-V;2023;Branco;227786.27;2022-07-07;À vista
486;Vinícius Martins;25;816.094.375-00;Masculino;Viúvo;heitor02@example.net;11 8893 7936;Souza de Vasconcelos;PB;Fiat;Fastback;2020;Vermelho;162983.93;2019-03-08;Financiamento
487;Maria Luísa Casa Grande;54;834.297.051-50;Feminino;Divorciado;borgesmelina@example.com;+55 (051) 8084 3545;da Rocha de Mendes;RO;Volskwagen;Gol;2023;Cinza;213014.5;2023-06-17;À vista
488;Ana Laura Silveira;29;763.190.542-80;Feminino;Casado;souzaluiz-fernando@example.org;+55 11 4096-8859;Souza;RR;Ford;Ka Sedan;2019;Verde;147522.78;2019-06-23;Financiamento
489;Maria Júlia Silva;54;805.479.261-11;Feminino;Casado;arezende@example.net;+55 (071) 5782 3342;Novaes;RO;Volskwagen;Gol;2020;Verde;230425.46;2019-06-07;Financiamento
490;Thomas Farias;65;530.126.984-42;Masculino;Divorciado;paulo05@example.net;+55 51 6194 7736;Mendes;PB;Peugeot;3008;2021;Branco;237382.65;2019-01-26;À vista
491;Juan Lopes;48;528.710.964-49;Masculino;Divorciado;anthony52@example.net;21 2238 2341;Campos;MG;Volskwagen;Saveiro;2013;Vermelho;51870.34;2021-03-27;Financiamento
492;Ana Beatriz da Cruz;34;326.759.018-30;Feminino;Divorciado;benicio16@example.com;+55 (051) 2483-8925;Rezende;MA;Ford;Ranger;2018;Preto;77760.09;2018-09-18;Financiamento
493;Fernando Albuquerque;47;920.718.435-41;Masculino;Viúvo;yago97@example.org;+55 71 7089-7620;Borges do Amparo;SP;Peugeot;2008;2013;Branco;55432.51;2020-03-08;Consórcio
494;Benjamim Almeida;63;518.063.729-59;Masculino;Viúvo;rcarvalho@example.org;+55 11 7549 9393;Leão do Norte;AC;Ford;Focus;2015;Preto;185493.93;2021-08-25;Financiamento
495;Miguel Jesus;59;503.196.274-70;Masculino;Solteiro;mendesmateus@example.com;+55 (031) 2666 2303;Nogueira;GO;Volskwagen;Virtus;2020;Vermelho;229473.33;2018-05-10;À vista
496;Luísa Câmara;61;431.729.508-32;Feminino;Casado;salescatarina@example.net;61 1732 2744;Guerra do Norte;AL;Fiat;Pulse;2018;Cinza;142033.91;2024-04-08;À vista
497;Rodrigo Cassiano;54;594.607.328-10;Masculino;Solteiro;vitor-gabriel05@example.net;0900 087 8046;Barbosa de Ramos;RR;Hyundai;Creta;2017;Cinza;86251.49;2021-02-24;À vista
498;Ayla Casa Grande;57;759.843.206-65;Feminino;Solteiro;correiamatheus@example.com;(084) 4246-8042;Gomes;RS;Honda;HR-V;2017;Cinza;219535.51;2019-07-12;Consórcio
499;Pedro Henrique Cassiano;35;769.051.824-94;Masculino;Casado;salesagatha@example.org;0300 181 8994;Abreu dos Dourados;TO;Peugeot;Partner;2021;Cinza;159309.61;2018-06-24;Consórcio
500;Josué Casa Grande;33;805.379.642-74;Masculino;Casado;melomaria-alice@example.net;(051) 2120 6605;Caldeira;GO;Honda;HR-V;2022;Verde;194958.13;2019-06-30;Financiamento
501;Rafael Borges;29;209.874.165-02;Masculino;Casado;lopesandre@example.com;+55 81 2664 7116;Lima;PE;Toyota;Etios;2022;Vermelho;60067.16;2020-05-18;À vista
502;João Felipe Fonseca;47;368.027.915-95;Masculino;Viúvo;maria-julia45@example.org;+55 (071) 8881 8218;Azevedo;SP;Honda;Fit;2020;Branco;70371.1;2022-01-27;Financiamento
503;Maria Vitória Machado;22;962.470.381-78;Feminino;Casado;ffogaca@example.net;+55 31 7430-0344;Sá;RO;Toyota;Camry;2023;Preto;71701.92;2021-04-08;Financiamento
504;Luana Pereira;45;164.532.798-19;Feminino;Divorciado;fsales@example.net;+55 (081) 2404 6375;Rocha;PR;Volskwagen;Voyage;2016;Branco;213705.92;2022-03-11;À vista
505;Rebeca Nogueira;30;483.965.017-93;Feminino;Divorciado;fda-cruz@example.org;+55 21 9369-7454;Rezende;PI;Ford;Ka Sedan;2015;Cinza;125690.03;2024-11-03;Financiamento
506;Bento Lopes;36;815.624.703-53;Masculino;Solteiro;alicia14@example.net;84 1799-5072;Gonçalves Paulista;PE;Volskwagen;T-Cross;2022;Prata;200265.21;2018-09-30;Consórcio
507;Maria Eduarda da Cunha;23;130.675.498-48;Feminino;Casado;qnunes@example.org;+55 (061) 8530 5508;Peixoto;PE;Peugeot;308;2015;Vermelho;105458.03;2021-03-05;À vista
508;Heitor Sales;19;316.852.970-21;Masculino;Viúvo;wcostela@example.net;84 4521-1917;Nogueira do Galho;GO;Peugeot;2008;2021;Vermelho;199256.88;2021-09-28;Consórcio
509;Gabriela Campos;59;921.403.786-87;Feminino;Divorciado;icardoso@example.com;(041) 7634-8984;Oliveira de Minas;PA;Hyundai;HB20S;2022;Prata;149541.58;2024-10-19;À vista
510;Bruna Novaes;61;820.546.913-05;Feminino;Casado;goncalvespedro@example.org;51 4141 2647;Araújo;DF;Volskwagen;Voyage;2023;Prata;206054.81;2018-07-25;Financiamento
511;Vinícius Cunha;45;571.632.409-61;Masculino;Solteiro;lopespedro@example.net;84 6109 5271;Sales;RR;Volskwagen;Amarok;2014;Verde;89153.23;2022-08-13;Consórcio
512;Rafaela Cavalcanti;28;026.139.758-30;Feminino;Casado;leonascimento@example.org;+55 (031) 7108 9770;Moraes;SE;Ford;Territory;2020;Branco;231434.71;2019-07-26;Financiamento
513;Lívia Carvalho;52;231.084.975-88;Feminino;Divorciado;taragao@example.org;31 6483-7275;Montenegro do Campo;RR;Ford;Ranger;2021;Prata;198862.02;2021-08-14;À vista
514;Melissa da Costa;55;341.786.209-40;Feminino;Solteiro;maria41@example.com;(061) 2510-6041;Montenegro;MG;Citroen;Basalt;2017;Vermelho;228480.47;2022-02-22;Consórcio
515;Camila Pires;22;361.752.894-55;Feminino;Solteiro;rodriguesmariana@example.com;61 4083 2096;Vargas de Almeida;PA;Fiat;Argo;2018;Cinza;237571.92;2018-01-31;Financiamento
